,Constituency_No,Party,Vote_Share_2016,Vote_Share_2021,Incumbent_2016,Incumbent_2021,Turncoat_2016,Turncoat_2021,Recontest_2016,Recontest_2021,Winner_2016,Winner_2021
13849,169,PMK,2.4785211164121206,0.0,False,0,False,0,False,0,False,0
13850,169,NOTA,1.068801003164278,0.5361712864506362,0,0,0,0,0,0,False,False
13851,169,NTK,0.9110769321198703,6.04611974191688,False,False,False,False,False,False,False,False
13852,169,BSP,0.30369231070662345,0.3203510795515986,False,False,False,False,False,False,False,False
13853,169,IND,0.2713637744055958,0.15859856540388567,False,False,False,False,False,False,False,False
13854,169,IND,0.2713637744055958,0.09281620588977399,False,False,False,False,False,False,False,False
13855,169,IND,0.2713637744055958,0.06893630825793894,False,False,False,False,False,False,False,False
13856,169,IND,0.2713637744055958,0.05632051328262986,False,False,False,False,False,False,False,False
13857,169,IND,0.2713637744055958,0.03514400028836103,False,False,False,False,False,False,False,False
13858,169,IND,0.2713637744055958,0.021176512994268825,False,False,False,False,False,False,False,False
13859,169,IND,0.2694044691752305,0.15859856540388567,False,False,False,False,False,False,False,False
13860,169,IND,0.2694044691752305,0.09281620588977399,False,False,False,False,False,False,False,False
13861,169,IND,0.2694044691752305,0.06893630825793894,False,False,False,False,False,False,False,False
13862,169,IND,0.2694044691752305,0.05632051328262986,False,False,False,False,False,False,False,False
13863,169,IND,0.2694044691752305,0.03514400028836103,False,False,False,False,False,False,False,False
13864,169,IND,0.2694044691752305,0.021176512994268825,False,False,False,False,False,False,False,False
13865,169,IND,0.2140540964174104,0.15859856540388567,False,False,False,False,False,False,False,False
13866,169,IND,0.2140540964174104,0.09281620588977399,False,False,False,False,False,False,False,False
13867,169,IND,0.2140540964174104,0.06893630825793894,False,False,False,False,False,False,False,False
13868,169,IND,0.2140540964174104,0.05632051328262986,False,False,False,False,False,False,False,False
13869,169,IND,0.2140540964174104,0.03514400028836103,False,False,False,False,False,False,False,False
13870,169,IND,0.2140540964174104,0.021176512994268825,False,False,False,False,False,False,False,False
13871,169,IND,0.1356818872027979,0.15859856540388567,False,False,False,False,False,False,False,False
13872,169,IND,0.1356818872027979,0.09281620588977399,False,False,False,False,False,False,False,False
13873,169,IND,0.1356818872027979,0.06893630825793894,False,False,False,False,False,False,False,False
13874,169,IND,0.1356818872027979,0.05632051328262986,False,False,False,False,False,False,False,False
13875,169,IND,0.1356818872027979,0.03514400028836103,False,False,False,False,False,False,False,False
13876,169,IND,0.1356818872027979,0.021176512994268825,False,False,False,False,False,False,False,False
13877,169,IND,0.07543325136906452,0.15859856540388567,False,False,False,False,False,False,False,False
13878,169,IND,0.07543325136906452,0.09281620588977399,False,False,False,False,False,False,False,False
13879,169,IND,0.07543325136906452,0.06893630825793894,False,False,False,False,False,False,False,False
13880,169,IND,0.07543325136906452,0.05632051328262986,False,False,False,False,False,False,False,False
13881,169,IND,0.07543325136906452,0.03514400028836103,False,False,False,False,False,False,False,False
13882,169,IND,0.07543325136906452,0.021176512994268825,False,False,False,False,False,False,False,False
13883,169,IND,0.06073846214132469,0.15859856540388567,False,False,False,False,False,False,False,False
13884,169,IND,0.06073846214132469,0.09281620588977399,False,False,False,False,False,False,False,False
13885,169,IND,0.06073846214132469,0.06893630825793894,False,False,False,False,False,False,False,False
13886,169,IND,0.06073846214132469,0.05632051328262986,False,False,False,False,False,False,False,False
13887,169,IND,0.06073846214132469,0.03514400028836103,False,False,False,False,False,False,False,False
13888,169,IND,0.06073846214132469,0.021176512994268825,False,False,False,False,False,False,False,False
13889,169,IJK,0.15478511319885968,0.17166492448545578,False,False,False,False,False,False,False,False
13890,169,MMKA,0.06514689890964664,0.0,False,0,False,0,False,0,False,0
13891,170,DMK,41.928523919990916,48.25645263698941,True,True,False,False,True,True,True,True
13892,170,ADMK,41.640845946282084,42.874635921107,False,False,False,False,False,False,False,False
13893,170,PMK,7.413115303711154,0.0,False,0,False,0,False,0,False,0
13894,170,VCK,5.743826008900713,0.0,False,0,False,0,False,0,False,0
13895,170,NOTA,1.0268805866035073,0.6248551243159348,0,0,0,0,0,0,False,False
13896,170,NTK,0.7770549778563665,5.63175876560878,False,False,False,False,False,False,False,False
13897,170,BJP,0.7143282016341407,0.0,False,0,False,0,False,0,False,0
13898,170,BSP,0.2914632102049976,0.9267004625943582,False,False,False,False,False,False,False,False
13899,170,IND,0.26767029508622225,0.12345927859468066,False,False,False,False,False,False,False,False
13900,170,IND,0.26767029508622225,0.0997752537214154,False,False,False,False,False,False,False,False
13901,170,IND,0.26767029508622225,0.05139937312921399,False,False,False,False,False,False,False,False
13902,170,IND,0.26767029508622225,0.03426624875280933,False,False,False,False,False,False,False,False
13903,170,IND,0.26767029508622225,0.03426624875280933,False,False,False,False,False,False,False,False
13904,170,IND,0.26767029508622225,0.01914878606774639,False,False,False,False,False,False,False,False
13905,170,IND,0.07678622606513852,0.12345927859468066,False,False,False,False,False,False,False,False
13906,170,IND,0.07678622606513852,0.0997752537214154,False,False,False,False,False,False,False,False
13907,170,IND,0.07678622606513852,0.05139937312921399,False,False,False,False,False,False,False,False
13908,170,IND,0.07678622606513852,0.03426624875280933,False,False,False,False,False,False,False,False
13909,170,IND,0.07678622606513852,0.03426624875280933,False,False,False,False,False,False,False,False
13910,170,IND,0.07678622606513852,0.01914878606774639,False,False,False,False,False,False,False,False
13911,170,IND,0.06326752429310709,0.12345927859468066,False,False,False,False,False,False,False,False
13912,170,IND,0.06326752429310709,0.0997752537214154,False,False,False,False,False,False,False,False
13913,170,IND,0.06326752429310709,0.05139937312921399,False,False,False,False,False,False,False,False
13914,170,IND,0.06326752429310709,0.03426624875280933,False,False,False,False,False,False,False,False
13915,170,IND,0.06326752429310709,0.03426624875280933,False,False,False,False,False,False,False,False
13916,170,IND,0.06326752429310709,0.01914878606774639,False,False,False,False,False,False,False,False
13917,170,IND,0.056237799371650736,0.12345927859468066,False,False,False,False,False,False,False,False
13918,170,IND,0.056237799371650736,0.0997752537214154,False,False,False,False,False,False,False,False
13919,170,IND,0.056237799371650736,0.05139937312921399,False,False,False,False,False,False,False,False
13920,170,IND,0.056237799371650736,0.03426624875280933,False,False,False,False,False,False,False,False
13921,170,IND,0.056237799371650736,0.03426624875280933,False,False,False,False,False,False,False,False
13922,170,IND,0.056237799371650736,0.01914878606774639,False,False,False,False,False,False,False,False
13923,171,DMK,45.040169043621944,48.620700127553604,True,True,False,False,True,True,True,True
13924,171,ADMK,40.561466315728154,37.79737199084853,False,False,False,False,False,False,False,False
13925,171,DMDK,4.288581611739847,0.0,False,0,False,0,False,0,False,0
13926,171,PMK,4.262102347651554,0.0,False,0,False,0,False,0,False,0
13927,171,NTK,1.555391972546299,6.316940333259096,False,False,False,False,False,False,False,False
13928,171,BJP,1.5538032167010014,0.0,False,0,False,0,True,0,False,0
13929,171,NOTA,1.3732146356188468,0.8341600696483166,0,0,0,0,0,0,False,False
13930,171,IND,0.30133402532476816,0.11844263124860806,False,False,False,False,False,True,False,False
13931,171,IND,0.30133402532476816,0.10578850397845761,False,False,False,False,False,False,False,False
13932,171,IND,0.30133402532476816,0.09617136725314329,False,False,False,False,False,False,False,False
13933,171,IND,0.30133402532476816,0.07744325889332065,False,False,False,False,False,False,False,False
13934,171,IND,0.30133402532476816,0.06073981089672208,False,False,False,False,False,False,False,False
13935,171,IND,0.19435779840806666,0.11844263124860806,False,False,False,False,False,True,False,False
13936,171,IND,0.19435779840806666,0.10578850397845761,False,False,False,False,False,False,False,False
13937,171,IND,0.19435779840806666,0.09617136725314329,False,False,False,False,False,False,False,False
13938,171,IND,0.19435779840806666,0.07744325889332065,False,False,False,False,False,False,False,False
13939,171,IND,0.19435779840806666,0.06073981089672208,False,False,False,False,False,False,False,False
13940,171,IND,0.14086968494971586,0.11844263124860806,False,False,False,False,False,True,False,False
13941,171,IND,0.14086968494971586,0.10578850397845761,False,False,False,False,False,False,False,False
13942,171,IND,0.14086968494971586,0.09617136725314329,False,False,False,False,False,False,False,False
13943,171,IND,0.14086968494971586,0.07744325889332065,False,False,False,False,False,False,False,False
13944,171,IND,0.14086968494971586,0.06073981089672208,False,False,False,False,False,False,False,False
13945,171,IND,0.1271004676238038,0.11844263124860806,False,False,False,False,False,True,False,False
13946,171,IND,0.1271004676238038,0.10578850397845761,False,False,False,False,False,False,False,False
13947,171,IND,0.1271004676238038,0.09617136725314329,False,False,False,False,False,False,False,False
13948,171,IND,0.1271004676238038,0.07744325889332065,False,False,False,False,False,False,False,False
13949,171,IND,0.1271004676238038,0.06073981089672208,False,False,False,False,False,False,False,False
13950,171,TAVK,0.2414908884852272,0.0,False,0,False,0,False,0,False,0
13951,171,BSP,0.19647613953513005,0.0,False,0,False,0,False,0,False,0
13952,171,TMMK,0.094795765436087,0.0,False,0,False,0,False,0,False,0
13953,171,MSKK,0.06884608662956039,0.0,False,0,False,0,False,0,False,0
13954,172,ADMK,45.25604224642286,35.68549410606045,True,False,False,False,True,False,True,False
13955,172,INC,31.90886780463221,0.0,False,0,False,0,False,0,False,0
13956,172,TMC(M),10.188553147665273,0.0,False,0,False,0,False,0,False,0
13957,172,PMK,2.718736989723251,0.0,False,0,False,0,False,0,False,0
13958,172,NTK,2.1167035519425026,7.474794651287935,False,False,False,False,False,False,False,False
13959,172,SDPI,1.6669588272673488,0.0,False,0,False,0,False,0,False,0
13960,172,IND,1.5864320617043188,0.28784355930998773,False,False,False,False,False,False,False,False
13961,172,IND,1.5864320617043188,0.2421541054512595,False,False,False,False,False,False,False,False
13962,172,IND,1.5864320617043188,0.20915616655328914,False,False,False,False,False,False,False,False
13963,172,IND,1.5864320617043188,0.10711638626879615,False,False,False,False,False,False,False,False
13964,172,IND,1.5864320617043188,0.08274867754414109,False,False,False,False,False,False,False,False
13965,172,IND,1.5864320617043188,0.06701119899280138,False,False,False,False,False,False,False,False
13966,172,IND,0.5625917566886517,0.28784355930998773,False,False,False,False,False,False,False,False
13967,172,IND,0.5625917566886517,0.2421541054512595,False,False,False,False,False,False,False,False
13968,172,IND,0.5625917566886517,0.20915616655328914,False,False,False,False,False,False,False,False
13969,172,IND,0.5625917566886517,0.10711638626879615,False,False,False,False,False,False,False,False
13970,172,IND,0.5625917566886517,0.08274867754414109,False,False,False,False,False,False,False,False
13971,172,IND,0.5625917566886517,0.06701119899280138,False,False,False,False,False,False,False,False
13972,172,IND,0.4108508447093367,0.28784355930998773,False,False,False,False,False,False,False,False
13973,172,IND,0.4108508447093367,0.2421541054512595,False,False,False,False,False,False,False,False
13974,172,IND,0.4108508447093367,0.20915616655328914,False,False,False,False,False,False,False,False
13975,172,IND,0.4108508447093367,0.10711638626879615,False,False,False,False,False,False,False,False
13976,172,IND,0.4108508447093367,0.08274867754414109,False,False,False,False,False,False,False,False
13977,172,IND,0.4108508447093367,0.06701119899280138,False,False,False,False,False,False,False,False
13978,172,IND,0.14845410522164032,0.28784355930998773,False,False,False,False,False,False,False,False
13979,172,IND,0.14845410522164032,0.2421541054512595,False,False,False,False,False,False,False,False
13980,172,IND,0.14845410522164032,0.20915616655328914,False,False,False,False,False,False,False,False
13981,172,IND,0.14845410522164032,0.10711638626879615,False,False,False,False,False,False,False,False
